Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
20.10.2015 klo 21.58.54	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka, Mediapaja	Scratch, Code.org, Turtle Roy, Python, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hyvinkää
20.10.2015 klo 22.02.58	#N/A	Lappi	Ammattillinen koulutus	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Tietotekniikka, Taloushallinto	Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	3-5h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Tornio
20.10.2015 klo 22.08.45	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka, Tietotekniikka	Scratch, Code.org, JavaScript, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	2-3h	Mies	25-35	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 22.12.53	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Äidinkieli ja kirjallisuus, Uskonto ja/tai ET	Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Helsinki 
20.10.2015 klo 22.25.54	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Historia ja yhteiskuntaoppi	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	36-45	Sijainen, määräaikainen (opettaja)	Piikkiö
20.10.2015 klo 22.27.19	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Musiikki, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Espoo
20.10.2015 klo 22.31.18	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja	Basic (Visual, Cool, tms), HTML, CSS	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tammela
20.10.2015 klo 22.37.20	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Jotain peruskoulussa valinnaisessa tietotekniikassa, en muista mitä.	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	
20.10.2015 klo 22.49.09	#N/A	Pohjanmaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja	ScratchJr, Code.org, Lego RXT, NXT tai EV3	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 22.51.04	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Kielet	ScratchJr, Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
20.10.2015 klo 23.13.28	294	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lohja
20.10.2015 klo 23.17.10	#N/A	Lappi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Scratch, Code.org, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Rovaniemi
20.10.2015 klo 23.18.45	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, valo	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Tietotekniikka, Käsityö	ScratchJr, Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Oulu
20.10.2015 klo 23.46.43	#N/A	Kymenlaakso	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kouvola
21.10.2015 klo 0.05.10	#N/A	Uusimaa		Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)		Python, C/C++, Java	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 0.30.43	#N/A	Muualla	Esiopetus	En	ScratchJr (E-2)	Suomi-koulun opettaja, joten opetan suomea ja Suomen kulttuuria	JavaScript, HTML, CSS	Virallinen ammattini on muotoilija ja olen käyttänyt ohjelmointia siinä roolissa	1-2h	Nainen	25-35	Osa-aikainen Suomi-koulun opettaja	Frankfurt, Saksa, Hessen
21.10.2015 klo 3.10.22	#N/A	Muualla	Suomikoulu	En	ScratchJr (E-2), Scratch (3-6)	Suomikoulun opettajana tyo on jotain erityisopettajan, alakoulun open ja aidinkielen open valilta.	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45		Sunnyvale, CA
21.10.2015 klo 6.44.49	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Racket, Code.org, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Espoo
21.10.2015 klo 7.37.16	#N/A	Pohjois-Savo	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Hoitovapaalla vakinaisesta työsuhteesta 	Varkaus
21.10.2015 klo 8.26.06	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kerava
21.10.2015 klo 8.56.43	#N/A	Uusimaa	Ammattillinen koulutus	Kyllä, mutta olen jättänyt kesken	Scratch (3-6)	Tiedonhallinta	Racket	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	46-55	informaatikko	Espoo
21.10.2015 klo 9.01.22	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Hopscotch	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	
21.10.2015 klo 9.15.37	#N/A	Uusimaa	oma lapsi	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), En tiedä vielä		Scratch, Racket, Code.org, Turtle Roy, JavaScript, Python, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	36-45	service engineer	
21.10.2015 klo 9.16.02	305	Uusimaa	Ammattillinen koulutus, Etäkoulu Kulkuri, 9.lk	Kyllä, mutta olen jättänyt kesken	Scratch (3-6)	Äidinkieli ja kirjallisuus, Oppilaanohjaus, Tieto- ja viestintätekniikka	Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Helsinkin
21.10.2015 klo 9.34.09	#N/A	Keski-Suomi	Vapaa sivistystyö	En	Scratch (3-6), Racket (7-9), En tiedä vielä	Tietotekniikka	C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Työtön, ei työelämässä	
21.10.2015 klo 9.48.11	#N/A	Kanta-Häme	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Scratch (3-6), Racket (7-9)	Olen erityisopettaja	ScratchJr, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hämeenlinna
21.10.2015 klo 10.06.32	#N/A	Satakunta	Perusopetus luokat 7-9	En	En tiedä vielä	Terveystieto, Kotitalous	ScratchJr, Racket	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Nakkila
21.10.2015 klo 10.13.41	#N/A	Uusimaa		Kyllä, mutta olen jättänyt kesken	En tiedä vielä		En ole koskaan ohjelmoinut mitään		2-3h	Nainen	Yli 55		
21.10.2015 klo 10.38.48	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Käsityö	Code.org	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Seinäjoki
21.10.2015 klo 11.34.27	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Tietotekniikka	Scratch, Code.org, Lego RXT, NXT tai EV3, JavaScript, Python, C/C++, Basic (Visual, Cool, tms), HTML, CSS	Vedän ohjelmointikerhoa	Käytän niin paljon kuin se vaatii	Mies	36-45	Yrittäjä	
21.10.2015 klo 11.46.08	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Code.org, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lempäälä
21.10.2015 klo 11.49.31	#N/A	Etelä-Karjala	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Lego RXT, NXT tai EV3, C/C++, Picaxe Basic, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Lappeenranta
21.10.2015 klo 11.58.46	#N/A	Uusimaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Yliopisto	En	Racket (7-9)	Olen erityisopettaja	Scratch, Code.org, Turtle Roy, Python, HTML, CSS, TurtleArt, Etoys	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	25-35	tohtorikoulutettava, erityisopettajan koulutus	
21.10.2015 klo 12.00.51	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Tietotekniikka	Scratch, Code.org, Lego RXT, NXT tai EV3, JavaScript, Python, C/C++, Basic (Visual, Cool, tms), HTML, CSS	Vedän ohjelmointikerhoa	Käytän niin paljon kuin se vaatii	Mies	36-45	Yrittäjä	Sastamala
21.10.2015 klo 12.38.48	90	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
21.10.2015 klo 12.45.38	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET	ScratchJr, Racket, Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Siuntio
21.10.2015 klo 12.54.22	#N/A	Pohjois-Savo		En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)		Lego RXT, NXT tai EV3, JavaScript, Python, C/C++, Java, C#, Basic (Visual, Cool, tms), HTML, CSS, Ruby, PHP, GLSL	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	25-35	siviilipalvelusvelvollinen / opiskelija	Lapinlahti
21.10.2015 klo 12.57.14	#N/A	Etelä-Savo	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Java, Logo, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Pieksämäki
21.10.2015 klo 13.30.21	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	JavaScript, Java	Excelillä funktioiden kirjoittamista ja taulukointia yksi oppitunti eli 75 min	Käytän niin paljon kuin se vaatii	Nainen	Alle 25	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 13.36.52	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Historia ja yhteiskuntaoppi	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	
21.10.2015 klo 13.38.21	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Historia ja yhteiskuntaoppi	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	
21.10.2015 klo 13.48.54	#N/A	Pirkanmaa	Esiopetus	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Hämeenkyrö
21.10.2015 klo 13.55.25	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Oulu
21.10.2015 klo 14.00.10	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	JavaScript, Java	Excelillä funktioiden kirjoittamista ja taulukointia yksi oppitunti eli 75 min	Käytän niin paljon kuin se vaatii	Nainen	Alle 25	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 14.15.11	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	3-5h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Rusko
21.10.2015 klo 14.39.27	#N/A	Keski-Suomi	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Racket (7-9)	Matematiikka, Tietotekniikka	ScratchJr, Scratch, Racket, Code.org, JavaScript, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS, Fortran, Pascal	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Äänekoski
21.10.2015 klo 14.59.46	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Äidinkieli ja kirjallisuus, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Kuvataide, Liikunta	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Mäntsälä
21.10.2015 klo 15.14.17	#N/A	Pohjois-Savo	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Matematiikka	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kuopio
21.10.2015 klo 15.17.22	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka	C/C++	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
21.10.2015 klo 15.29.09	#N/A	Etelä-Karjala	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Logo, Picaxe Basic, Basic (Visual, Cool, tms), Toolbook script, pascal	Olemme ohjelmoineet muutamia tunteja (alle 10), En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	1-2h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Lappeenranta
21.10.2015 klo 15.29.55	#N/A	Uusimaa	Luokat 1-6	En	ScratchJr (E-2)	Olen erityisopettaja	C/C++, Logo	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Lohja
21.10.2015 klo 15.41.21	317	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), En tiedä vielä	Olen luokanopettaja, Musiikki	En muista ohjelmointikielen nimeä, siitä on niin kauan.	En ole koskaan käyttänyt ohjelmointia opetustyössä, En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Savonlinna
21.10.2015 klo 16.08.22	#N/A	Pirkanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Lempäälä
21.10.2015 klo 17.05.34	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	ScratchJr, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	25-35	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 17.15.19	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Kielet	ScratchJr, Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
21.10.2015 klo 17.26.15	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Code.org, Basic (Visual, Cool, tms)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	
21.10.2015 klo 17.45.14	#N/A	Satakunta	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kokemäki
21.10.2015 klo 17.55.49	#N/A	Uusimaa	Esiopetus, Varhaiskasvatus	En	ScratchJr (E-2)		En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Lastenhoitaja esiopetuksessa	
21.10.2015 klo 18.37.45	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	3-5h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Rusko
21.10.2015 klo 18.47.56	#N/A	Etelä-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen erityisopettaja, Matematiikka	C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	isojoki
21.10.2015 klo 19.06.16	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	C/C++, Assembler, Cobol, PL1	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kuusamo
21.10.2015 klo 19.18.26	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Loimaa
21.10.2015 klo 19.26.24	#N/A	Keski-Suomi	Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Oppilaanohjaus, Tietotekniikka	Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	3-5h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Konnevesi
21.10.2015 klo 19.29.02	#N/A	Keski-Suomi	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 19.39.15	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lieto
21.10.2015 klo 19.39.29	#N/A	Pirkanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Java, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tampere
21.10.2015 klo 19.45.54	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Racket, Code.org, Turtle Roy, Hopscotch, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Vedän ohjelmointikerhoa	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
21.10.2015 klo 19.56.03	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Biologia ja/tai maantieto, Tietotekniikka	Java	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
21.10.2015 klo 20.07.59	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
21.10.2015 klo 20.09.59	#N/A	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Terveystieto, Uskonto ja/tai ET, Tietotekniikka, Käsityö, Liikunta	Lego RXT, NXT tai EV3, JavaScript, Logo, Picaxe Basic, Basic (Visual, Cool, tms), HTML, CSS, Pascal, ActionScript	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Raisio
21.10.2015 klo 20.14.23	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja, Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	jyväskylä
21.10.2015 klo 20.32.46	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Rauma
